Time (s),Position (m)
5.360000,53.906592
5.370000,53.907550
5.380000,53.908138
5.390000,53.908355
5.400000,53.908200
5.410000,53.907674
5.420000,53.906778
5.430000,53.905511
5.440000,53.903872
5.450000,53.901863
5.460000,53.899482
5.470000,53.896731
5.480000,53.893608
5.490000,53.890115
5.500000,53.886250
5.510000,53.882015
5.520000,53.877408
5.530000,53.872431
5.540000,53.867082
5.550000,53.861363
5.560000,53.855272
5.570000,53.848811
5.580000,53.841978
5.590000,53.834775
5.600000,53.827200
5.610000,53.819255
5.620000,53.810938
5.630000,53.802251
5.640000,53.793192
5.650000,53.783763
5.660000,53.773962
5.670000,53.763791
5.680000,53.753248
5.690000,53.742335
5.700000,53.731050
5.710000,53.719395
5.720000,53.707368
5.730000,53.694971
5.740000,53.682202
5.750000,53.669063
5.760000,53.655552
5.770000,53.641671
5.780000,53.627418
5.790000,53.612795
5.800000,53.597800
5.810000,53.582435
5.820000,53.566698
5.830000,53.550591
5.840000,53.534112
5.850000,53.517263
5.860000,53.500042
5.870000,53.482451
5.880000,53.464488
5.890000,53.446155
5.900000,53.427450
5.910000,53.408375
5.920000,53.388928
5.930000,53.369111
5.940000,53.348922
5.950000,53.328363
5.960000,53.307432
5.970000,53.286131
5.980000,53.264458
5.990000,53.242415
6.000000,53.220000
6.010000,53.197215
6.020000,53.174058
6.030000,53.150531
6.040000,53.126632
6.050000,53.102363
6.060000,53.077722
6.070000,53.052711
6.080000,53.027328
6.090000,53.001575
6.100000,52.975450
6.110000,52.948955
6.120000,52.922088
6.130000,52.894851
6.140000,52.867242
6.150000,52.839263
6.160000,52.810912
6.170000,52.782191
6.180000,52.753098
6.190000,52.723635
6.200000,52.693800
6.210000,52.663595
6.220000,52.633018
6.230000,52.602071
6.240000,52.570752
6.250000,52.539063
6.260000,52.507002
6.270000,52.474571
6.280000,52.441768
6.290000,52.408595
6.300000,52.375050
6.310000,52.341135
6.320000,52.306848
6.330000,52.272191
6.340000,52.237162
6.350000,52.201763
6.360000,52.165992
6.370000,52.129851
6.380000,52.093338
6.390000,52.056455
6.400000,52.019200
6.410000,51.981575
6.420000,51.943578
6.430000,51.905211
6.440000,51.866472
6.450000,51.827363
6.460000,51.787882
6.470000,51.748031
6.480000,51.707808
6.490000,51.667215
6.500000,51.626250
6.510000,51.584915
6.520000,51.543208
6.530000,51.501131
6.540000,51.458682
6.550000,51.415863
6.560000,51.372672
6.570000,51.329111
6.580000,51.285178
6.590000,51.240875
6.600000,51.196200
6.610000,51.151155
6.620000,51.105738
6.630000,51.059951
6.640000,51.013792
6.650000,50.967263
6.660000,50.920362
6.670000,50.873091
6.680000,50.825448
6.690000,50.777435
6.700000,50.729050
6.710000,50.680295
6.720000,50.631168
6.730000,50.581671
6.740000,50.531802
6.750000,50.481563
6.760000,50.430952
6.770000,50.379971
6.780000,50.328618
6.790000,50.276895
6.800000,50.224800
6.810000,50.172335
6.820000,50.119498
6.830000,50.066291
6.840000,50.012712
6.850000,49.958763
6.860000,49.904442
6.870000,49.849751
6.880000,49.794688
6.890000,49.739255
6.900000,49.683450
6.910000,49.627275
6.920000,49.570728
6.930000,49.513811
6.940000,49.456522
6.950000,49.398863
6.960000,49.340832
6.970000,49.282431
6.980000,49.223658
6.990000,49.164515
7.000000,49.105000
7.010000,49.045115
7.020000,48.984858
7.030000,48.924231
7.040000,48.863232
7.050000,48.801863
7.060000,48.740122
7.070000,48.678011
7.080000,48.615528
7.090000,48.552675
7.100000,48.489450
7.110000,48.425855
7.120000,48.361888
7.130000,48.297551
7.140000,48.232842
7.150000,48.167763
7.160000,48.102312
7.170000,48.036491
7.180000,47.970298
7.190000,47.903735
7.200000,47.836800
7.210000,47.769495
7.220000,47.701818
7.230000,47.633771
7.240000,47.565352
7.250000,47.496563
7.260000,47.427402
7.270000,47.357871
7.280000,47.287968
7.290000,47.217695
7.300000,47.147050
7.310000,47.076035
7.320000,47.004648
7.330000,46.932891
7.340000,46.860762
7.350000,46.788263
7.360000,46.715392
7.370000,46.642151
7.380000,46.568538
7.390000,46.494555
7.400000,46.420200
7.410000,46.345475
7.420000,46.270378
7.430000,46.194911
7.440000,46.119072
7.450000,46.042863
7.460000,45.966282
7.470000,45.889331
7.480000,45.812008
7.490000,45.734315
7.500000,45.656250
7.510000,45.577815
7.520000,45.499008
7.530000,45.419831
7.540000,45.340282
7.550000,45.260363
7.560000,45.180072
7.570000,45.099411
7.580000,45.018378
7.590000,44.936975
7.600000,44.855200
7.610000,44.773055
7.620000,44.690538
7.630000,44.607651
7.640000,44.524392
7.650000,44.440763
7.660000,44.356762
7.670000,44.272391
7.680000,44.187648
7.690000,44.102535
7.700000,44.017050
